# TStellate2_CS Optimisation
# 20130903+16:37:26
 
#param.w.x[lsr][ts] = 0.0017991	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.0004908	[1e-07,0.3]
#param.w.x[ds][ts] = 7.3372e-05	[1e-07,0.3]
#param.w.x[tv][ts] = 0.00017319	[1e-07,0.3]
#param.w.x[glg][ts] = 8.9534e-06	[1e-07,0.3]
# final error=19.467655
# Threshold level 20 
# Threshold rate 500 
# TS exemplar RMP -60.9
# TS exemplar CF 9100
# CV RMS errors:	6.224	5.281	2.994	
# CV Penalties :	0	0	0	0	0	0.1283	0.3197	0	0	0	0	0.2054	0.2222	0	0	0	0	0	0	0.07291	0	
# IV RMS errors:	1.906	1.988	0.1259	
# IV Penalties :	
# Final Error  19.4677   19.4677
# Time	 IV @spl=20 (mV)	 IV @spl=30 (mV)	 IV @spl=40 (mV)
-20.00	-65.000000	-65.000000	-65.000000
-19.90	-64.766934	-64.766934	-64.766934
-19.80	-64.545736	-64.545736	-64.545736
-19.70	-64.335646	-64.335646	-64.335646
-19.60	-64.136115	-64.136115	-64.136115
-19.50	-63.946649	-63.946649	-63.946649
-19.40	-63.766647	-63.766647	-63.766647
-19.30	-63.595652	-63.595652	-63.595652
-19.20	-63.433250	-63.433250	-63.433250
-19.10	-63.279047	-63.279047	-63.279047
-19.00	-63.132590	-63.132590	-63.132590
-18.90	-62.993458	-62.993458	-62.993458
-18.80	-62.861308	-62.861308	-62.861308
-18.70	-62.735827	-62.735827	-62.735827
-18.60	-62.616717	-62.616717	-62.616717
-18.50	-62.503695	-62.503695	-62.503695
-18.40	-62.396372	-62.396372	-62.396372
-18.30	-62.294460	-62.294460	-62.294460
-18.20	-62.197712	-62.197712	-62.197712
-18.10	-62.105895	-62.105895	-62.105895
-18.00	-62.018788	-62.018788	-62.018788
-17.90	-61.936179	-61.936179	-61.936179
-17.80	-61.857864	-61.857864	-61.857874
-17.70	-61.783649	-61.783649	-61.783680
-17.60	-61.713277	-61.713277	-61.713334
-17.50	-61.646526	-61.646526	-61.646616
-17.40	-61.583227	-61.583227	-61.583354
-17.30	-61.523219	-61.523219	-61.523387
-17.20	-61.466349	-61.466349	-61.466561
-17.10	-61.401600	-61.412473	-61.401857
-17.00	-61.331979	-61.361448	-61.332283
-16.90	-61.270519	-61.313139	-61.270871
