# TStellate2_CT2 Optimisation
# 20130903+16:43:49
 
#param.w.x[lsr][ts] = 0.0014116	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.001099	[1e-07,0.3]
#param.w.x[ds][ts] = 0.00041157	[1e-07,0.3]
#param.w.x[tv][ts] = 0.00015319	[1e-07,0.3]
#param.w.x[glg][ts] = 0.00038271	[1e-07,0.3]
# final error=93.201838
# Threshold level 20 
# Threshold rate 0 
# TS exemplar RMP -60.9
# TS exemplar CF 9100
# CV RMS errors:	7.022	22.37	6.718	
# CV Penalties :	0	0	0	0	0	0	0	0	0	0	0	0	10.79	0	0	0	0	10.22	0	0	10	0	0	0	0	0	0	0	10.5	0	
# IV RMS errors:	6.688	2.648	6.245	
# IV Penalties :	
# Final Error  93.2018   93.2018
# Time	 IV @spl=20 (mV)	 IV @spl=30 (mV)	 IV @spl=40 (mV)
-20.00	-65.000000	-65.000000	-65.000000
-19.90	-64.869248	-64.869248	-64.869248
-19.80	-64.745181	-64.745181	-64.745181
-19.70	-64.627368	-64.627368	-64.627368
-19.60	-64.515507	-64.515507	-64.515507
-19.50	-64.409324	-64.409324	-64.409324
-19.40	-64.308557	-64.308557	-64.308557
-19.30	-64.212957	-64.212957	-64.212957
-19.20	-64.122281	-64.122281	-64.122281
-19.10	-64.036293	-64.036293	-64.036293
-19.00	-63.954716	-63.954716	-63.954716
-18.90	-63.877337	-63.877337	-63.877337
-18.80	-63.803956	-63.803956	-63.803956
-18.70	-63.734384	-63.734384	-63.734384
-18.60	-63.668439	-63.668439	-63.668439
-18.50	-63.605948	-63.605948	-63.605948
-18.40	-63.546743	-63.546743	-63.546743
-18.30	-63.490665	-63.490665	-63.490665
-18.20	-63.437561	-63.437561	-63.437561
-18.10	-63.387285	-63.387285	-63.387285
-18.00	-63.339696	-63.339696	-63.339696
-17.90	-63.294636	-63.294636	-63.294636
-17.80	-63.251959	-63.251959	-63.251959
-17.70	-63.211544	-63.211544	-63.211544
-17.60	-63.173277	-63.173277	-63.173277
-17.50	-63.137050	-63.137050	-63.137050
-17.40	-63.102759	-63.102759	-63.102759
-17.30	-63.070307	-63.038312	-63.070307
-17.20	-63.039599	-62.985143	-63.039599
-17.10	-62.985627	-62.940548	-63.010547
-17.00	-62.915700	-62.902599	-62.958156
-16.90	-62.835140	-62.869894	-62.889735
-16.80	-62.772737	-62.816495	-62.835493
-16.70	-62.692079	-62.749000	-62.791955
-16.60	-62.606430	-62.697068	-62.682638
-16.50	-62.543008	-62.656833	-62.576643
-16.40	-62.471353	-62.625484	-62.473947
-16.30	-62.369869	-62.576112	-62.399517
-16.20	-62.249938	-62.539358	-62.297244
-16.10	-62.116097	-62.413605	-62.201021
-16.00	-61.948800	-62.292073	-62.134187
-15.90	-61.809073	-62.157668	-61.965825
-15.80	-61.641764	-61.943249	-61.800666
-15.70	-61.482076	-61.770165	-61.541365
-15.60	-61.255635	-61.554091	-61.270498
-15.50	-61.081302	-61.359488	-61.041015
-15.40	-60.922481	-61.204819	-60.794468
-15.30	-60.777034	-61.079946	-60.584334
-15.20	-60.689202	-60.953808	-60.425723
-15.10	-60.569619	-60.829010	-60.256240
-15.00	-60.406745	-60.684586	-60.107154
-14.90	-60.119080	-60.523083	-59.878824
-14.80	-59.863112	-60.329353	-59.644070
-14.70	-59.632975	-60.134404	-59.397016
-14.60	-59.397516	-59.942468	-59.164649
-14.50	-59.136386	-59.726552	-58.962241
-14.40	-58.857604	-59.569727	-58.758553
-14.30	-58.627677	-59.342637	-58.546977
-14.20	-58.423549	-59.138133	-58.262866
-14.10	-58.278051	-58.945803	-57.890886
-14.00	-58.120279	-58.688144	-57.351211
-13.90	-57.870521	-58.452833	-56.475819
-13.80	-57.613436	-58.247725	-56.135732
-13.70	-57.214059	-58.013758	-55.718496
-13.60	-56.493544	-57.793076	-55.532696
-13.50	-55.108883	-57.621504	-55.365553
-13.40	-53.762329	-57.316359	-55.726014
-13.30	-53.626724	-56.972785	-56.310009
-13.20	-54.148843	-56.423004	-57.153505
-13.10	-55.504284	-55.238439	-57.819781
-13.00	-56.015698	-53.968257	-58.190246
-12.90	-56.463632	-53.124044	-58.178795
-12.80	-56.616715	-53.196481	-58.062567
-12.70	-57.068918	-53.829139	-57.766050
-12.60	-57.310263	-54.219500	-56.998739
-12.50	-56.939390	-54.495751	-56.440864
-12.40	-56.945465	-55.083549	-55.739094
-12.30	-56.786208	-56.248987	-56.098779
-12.20	-57.234232	-57.482243	-56.559811
-12.10	-57.521903	-58.216405	-57.589572
-12.00	-57.583733	-58.565278	-58.230057
-11.90	-57.331012	-58.571825	-58.503348
-11.80	-56.778281	-58.499718	-58.494196
-11.70	-55.701227	-58.384054	-58.201422
-11.60	-55.165232	-58.150345	-57.542474
-11.50	-54.325555	-57.466096	-57.420093
-11.40	-54.625124	-57.445663	-57.057280
-11.30	-54.715820	-57.378926	-56.954547
-11.20	-54.943936	-57.873257	-57.231463
-11.10	-55.167213	-58.335997	-57.496068
-11.00	-55.056070	-58.617689	-58.133452
-10.90	-54.678507	-58.674137	-58.686966
-10.80	-54.539476	-58.540028	-59.013904
-10.70	-53.642740	-58.182487	-59.123170
-10.60	-54.298849	-57.640392	-59.161771
-10.50	-55.091768	-57.553071	-59.040273
-10.40	-56.361168	-57.622349	-58.845538
-10.30	-56.822480	-58.113492	-58.651015
-10.20	-57.182003	-58.465234	-58.452266
-10.10	-57.406595	-58.537525	-58.225714
-10.00	-57.947765	-58.462128	-57.977773
-9.90	-58.300402	-58.132111	-57.677768
-9.80	-58.426938	-57.452076	-57.418779
-9.70	-58.243904	-57.359622	-57.140360
-9.60	-57.611373	-57.248574	-56.547784
-9.50	-56.335810	-57.855589	-55.713078
-9.40	-54.956407	-58.339977	-55.353223
-9.30	-54.479055	-58.644874	-55.130632
-9.20	-54.668155	-58.746374	-55.093025
-9.10	-56.263953	-58.769268	-54.385004
-9.00	-57.604481	-58.728874	-53.717642
-8.90	-58.700461	-58.576996	-52.925860
-8.80	-59.296029	-58.341114	-53.117881
-8.70	-59.545767	-58.147830	-53.361934
-8.60	-59.595766	-57.884863	-54.490531
-8.50	-59.508128	-57.473605	-55.090630
-8.40	-59.345613	-57.013007	-55.769963
-8.30	-59.126056	-56.188321	-56.589487
-8.20	-58.847880	-55.982369	-57.365054
-8.10	-58.528026	-55.792797	-58.095930
-8.00	-57.908713	-56.309853	-58.548363
-7.90	-57.017847	-56.626596	-58.674852
-7.80	-56.223899	-56.676350	-58.587319
-7.70	-56.325969	-56.506690	-58.097842
-7.60	-56.720863	-56.145418	-57.738680
-7.50	-57.529794	-55.621103	-57.615737
-7.40	-57.869595	-54.675114	-57.847607
-7.30	-57.777656	-54.290247	-58.175741
-7.20	-57.826255	-53.687181	-58.161967
-7.10	-58.107778	-52.959659	-57.882505
-7.00	-58.583388	-52.892490	-57.869119
-6.90	-58.891323	-52.925711	-58.191427
-6.80	-58.941360	-53.724971	-58.668331
-6.70	-58.846382	-54.105641	-58.973444
-6.60	-58.717061	-54.549307	-59.026534
-6.50	-58.487202	-54.344246	-58.911750
-6.40	-58.203940	-54.516122	-58.748857
-6.30	-57.479949	-54.320556	-58.436345
-6.20	-57.324089	-54.963918	-58.021666
-6.10	-57.234684	-55.495332	-57.239317
-6.00	-57.773974	-56.243479	-56.739195
-5.90	-58.181899	-56.588528	-56.061330
-5.80	-58.333034	-56.331718	-55.517805
-5.70	-58.388286	-56.098727	-56.004566
-5.60	-58.313782	-55.400580	-56.687739
-5.50	-58.179209	-55.571991	-57.830514
-5.40	-57.964586	-55.713601	-58.759413
-5.30	-57.590954	-56.526084	-59.396132
-5.20	-57.157648	-57.512447	-59.537829
-5.10	-57.153486	-58.334964	-59.164813
-5.00	-57.377078	-58.859669	-58.795039
-4.90	-57.955998	-58.983744	-58.760131
-4.80	-58.400617	-58.764402	-59.098527
-4.70	-58.621921	-58.192158	-59.594914
-4.60	-58.716026	-58.163799	-59.939392
-4.50	-58.736518	-58.138396	-60.041028
-4.40	-58.652926	-58.715686	-59.987188
-4.30	-58.370860	-59.029844	-59.851178
-4.20	-57.771520	-59.166911	-59.764714
-4.10	-57.360926	-59.117772	-59.661956
-4.00	-57.185240	-58.926452	-59.452490
-3.90	-57.410961	-58.621418	-59.090119
