# TStellate3_CS Optimisation
# 20130904+11:15:31
 
#param.w.x[lsr][ts] = 0.0017991	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.0004908	[1e-07,0.3]
#param.w.x[ds][ts] = 7.3372e-05	[1e-07,0.3]
#param.w.x[tv][ts] = 0.00017319	[1e-07,0.3]
#param.w.x[glg][ts] = 8.9534e-06	[1e-07,0.3]
# final error=71.192667
# Threshold level 20 
# Threshold rate 0 
# TS exemplar RMP -60.9
# TS exemplar CF 9100
# CV RMS errors:	7.32	7.329	7.873	
# CV Penalties :	0	0	0	10.97	0	0.3225	0.7094	3.722	0	0	0	0	0	0	5.171	2.208	0	0	0	12.13	0	0	5.179	3.329	
# IV RMS errors:	1.691	2.219	1.011	
# IV Penalties :	
# Final Error  71.1927   71.1927
# Time	 IV @spl=20 (mV)	 IV @spl=30 (mV)	 IV @spl=40 (mV)
-50.00	-65.000000	-65.000000	-65.000000
-49.90	-64.766934	-64.766934	-64.766934
-49.80	-64.545736	-64.545736	-64.545736
-49.70	-64.335646	-64.335646	-64.335646
-49.60	-64.136115	-64.136115	-64.136115
-49.50	-63.946649	-63.946649	-63.946649
-49.40	-63.766647	-63.766647	-63.766647
-49.30	-63.595652	-63.595652	-63.595652
-49.20	-63.433250	-63.433250	-63.433250
-49.10	-63.279047	-63.279047	-63.279047
-49.00	-63.132590	-63.132590	-63.132590
-48.90	-62.993458	-62.993458	-62.993458
-48.80	-62.861308	-62.861308	-62.861308
-48.70	-62.735827	-62.735827	-62.735827
-48.60	-62.616717	-62.616717	-62.616717
-48.50	-62.503695	-62.503695	-62.503695
-48.40	-62.396372	-62.396372	-62.396372
-48.30	-62.294460	-62.294460	-62.294460
-48.20	-62.197712	-62.197712	-62.197712
-48.10	-62.105895	-62.105895	-62.105895
-48.00	-62.018788	-62.018788	-62.018788
-47.90	-61.936179	-61.936179	-61.936179
-47.80	-61.857864	-61.857864	-61.857877
-47.70	-61.783649	-61.783649	-61.783687
-47.60	-61.713277	-61.713277	-61.713348
-47.50	-61.646526	-61.646526	-61.641180
-47.40	-61.577774	-61.583227	-61.574047
-47.30	-61.513890	-61.517772	-61.511375
-47.20	-61.448866	-61.457030	-61.447269
-47.10	-61.389268	-61.400440	-61.388374
-47.00	-61.328936	-61.347563	-61.328541
-46.90	-61.274261	-61.281765	-61.263361
-46.80	-61.208104	-61.218311	-61.184311
-46.70	-61.150734	-61.151905	-61.101597
-46.60	-61.095010	-61.073424	-61.011848
-46.50	-61.030301	-61.003189	-60.917876
-46.40	-60.959896	-60.934264	-60.838086
-46.30	-60.891445	-60.861666	-60.753291
-46.20	-60.825204	-60.767557	-60.676446
-46.10	-60.756005	-60.673645	-60.579706
-46.00	-60.690865	-60.591221	-60.495940
-45.90	-60.629268	-60.517666	-60.406568
-45.80	-60.560015	-60.440716	-60.324777
-45.70	-60.459533	-60.348883	-60.243761
-45.60	-60.348033	-60.231273	-60.134441
-45.50	-60.256331	-60.118687	-60.025324
-45.40	-60.147536	-60.019605	-59.922353
-45.30	-60.017084	-59.913949	-59.814606
-45.20	-59.903986	-59.813759	-59.714745
-45.10	-59.815365	-59.700869	-59.612158
-45.00	-59.734550	-59.570668	-59.529170
-44.90	-59.644837	-59.448035	-59.445341
-44.80	-59.528376	-59.303869	-59.350561
-44.70	-59.404664	-59.087162	-59.244107
-44.60	-59.266153	-58.674367	-59.151335
-44.50	-59.149836	-58.589899	-59.068738
-44.40	-59.050711	-58.528074	-58.999067
-44.30	-58.954296	-58.765357	-58.928910
-44.20	-58.842555	-58.959916	-58.843646
-44.10	-58.734137	-59.082856	-58.749295
-44.00	-58.623715	-59.100831	-58.649137
-43.90	-58.517628	-59.037156	-58.534986
-43.80	-58.377415	-58.966181	-58.409586
-43.70	-58.250637	-58.860460	-58.293445
-43.60	-58.143998	-58.762289	-58.148583
-43.50	-58.030441	-58.640146	-58.031390
-43.40	-57.927003	-58.508125	-57.934441
-43.30	-57.845914	-58.409511	-57.863657
-43.20	-57.795820	-58.324751	-57.771796
-43.10	-57.722275	-58.254983	-57.682202
-43.00	-57.658714	-58.175601	-57.584291
-42.90	-57.576611	-58.069039	-57.495786
-42.80	-57.471866	-57.973500	-57.419030
-42.70	-57.279265	-57.875960	-57.368356
-42.60	-56.909230	-57.746278	-57.316377
-42.50	-56.869084	-57.638480	-57.263285
-42.40	-56.843346	-57.535720	-57.213301
-42.30	-57.118116	-57.436113	-57.172316
-42.20	-57.317099	-57.288372	-57.133923
-42.10	-57.434247	-56.955590	-57.099247
-42.00	-57.481883	-56.792393	-57.085947
-41.90	-57.494786	-56.726324	-57.071995
-41.80	-57.480550	-56.921194	-57.053285
-41.70	-57.451140	-57.164789	-57.026978
-41.60	-57.406009	-57.327080	-57.005049
-41.50	-57.338495	-57.355423	-56.991500
-41.40	-57.282604	-57.299919	-56.982768
-41.30	-57.215044	-57.174799	-56.983927
-41.20	-57.146059	-56.900308	-56.982218
-41.10	-57.092264	-56.721364	-56.966989
-41.00	-57.030529	-56.662700	-56.955716
-40.90	-56.967606	-56.828102	-56.919101
-40.80	-56.902817	-56.977493	-56.860337
-40.70	-56.818380	-56.978000	-56.787905
-40.60	-56.717232	-56.745731	-56.682803
-40.50	-56.617677	-56.756271	-56.530757
-40.40	-56.484458	-56.754457	-56.289080
-40.30	-56.239686	-57.080238	-56.239565
-40.20	-55.933534	-57.281774	-56.211083
-40.10	-55.853746	-57.434912	-56.430823
-40.00	-55.877891	-57.502828	-56.624355
-39.90	-55.996664	-57.529217	-56.754291
-39.80	-55.852281	-57.507916	-56.812269
-39.70	-55.933781	-57.464070	-56.853946
-39.60	-55.949036	-57.436376	-56.884652
-39.50	-56.222897	-57.387596	-56.895565
-39.40	-56.279840	-57.335759	-56.910477
-39.30	-56.290172	-57.285569	-56.915129
-39.20	-56.340866	-57.199903	-56.915200
-39.10	-56.556412	-57.020521	-56.891575
-39.00	-56.772419	-56.801899	-56.861379
-38.90	-56.778426	-56.773751	-56.844917
-38.80	-56.542904	-56.887658	-56.827470
-38.70	-56.550681	-57.169678	-56.813694
-38.60	-56.560581	-57.375147	-56.813675
-38.50	-56.853931	-57.496527	-56.807613
-38.40	-57.038053	-57.542851	-56.750650
-38.30	-57.138891	-57.573268	-56.717790
-38.20	-57.165454	-57.583282	-56.676839
-38.10	-57.167978	-57.618138	-56.635762
-38.00	-57.113640	-57.636495	-56.585137
-37.90	-57.012400	-57.641735	-56.554605
-37.80	-56.901907	-57.623230	-56.509875
-37.70	-56.698616	-57.575482	-56.435484
-37.60	-56.446191	-57.519147	-56.362226
-37.50	-56.431835	-57.500409	-56.255456
-37.40	-56.564816	-57.487269	-56.086511
-37.30	-56.859338	-57.466681	-55.799173
-37.20	-57.092295	-57.445848	-55.223132
-37.10	-57.211112	-57.402271	-54.830486
-37.00	-57.274538	-57.352013	-54.463757
-36.90	-57.301630	-57.302473	-54.785034
-36.80	-57.298216	-57.255912	-55.259078
-36.70	-57.297397	-57.204722	-55.903675
-36.60	-57.299120	-57.150348	-56.338889
-36.50	-57.285009	-57.033497	-56.584780
-36.40	-57.267574	-56.752911	-56.679547
-36.30	-57.259169	-56.535493	-56.670729
-36.20	-57.244564	-56.538506	-56.516119
-36.10	-57.185675	-56.676874	-56.449039
-36.00	-57.019632	-56.899429	-56.431751
-35.90	-56.849384	-57.057892	-56.532956
-35.80	-56.869046	-57.134543	-56.442764
-35.70	-57.051034	-57.153117	-56.628122
-35.60	-57.344712	-57.154807	-56.754205
-35.50	-57.524628	-57.149298	-57.144101
-35.40	-57.621100	-57.103008	-57.443766
-35.30	-57.643149	-57.056278	-57.631545
-35.20	-57.626106	-56.991869	-57.730954
-35.10	-57.612713	-56.914279	-57.773395
-35.00	-57.560813	-56.820903	-57.776440
-34.90	-57.524978	-56.690772	-57.765445
-34.80	-57.490805	-56.402838	-57.755824
-34.70	-57.487823	-56.230446	-57.698111
-34.60	-57.497034	-56.162612	-57.676632
-34.50	-57.501805	-56.364975	-57.681389
-34.40	-57.497581	-56.593020	-57.664450
-34.30	-57.517347	-56.738196	-57.642495
-34.20	-57.519679	-56.774674	-57.631734
-34.10	-57.503037	-56.779532	-57.624422
-34.00	-57.479004	-56.776454	-57.619102
-33.90	-57.460008	-56.752455	-57.593655
-33.80	-57.429597	-56.718778	-57.584173
-33.70	-57.410445	-56.613601	-57.577082
-33.60	-57.415506	-56.373606	-57.571921
-33.50	-57.418265	-56.236325	-57.563029
-33.40	-57.433424	-56.215442	-57.541437
-33.30	-57.399806	-56.398059	-57.546117
-33.20	-57.359338	-56.596998	-57.535580
-33.10	-57.327211	-56.697334	-57.532688
-33.00	-57.286242	-56.650144	-57.516470
-32.90	-57.226372	-56.359556	-57.499163
-32.80	-57.144760	-56.336041	-57.490994
-32.70	-57.060752	-56.223048	-57.469479
-32.60	-56.988237	-56.259485	-57.424707
-32.50	-56.907630	-56.476496	-57.386335
-32.40	-56.802475	-56.626216	-57.363043
-32.30	-56.712698	-56.961749	-57.332226
-32.20	-56.633647	-57.235966	-57.319958
-32.10	-56.549311	-57.383332	-57.310910
-32.00	-56.410905	-57.417546	-57.298005
-31.90	-56.207419	-57.409147	-57.258290
-31.80	-55.719609	-57.379983	-57.224903
-31.70	-55.387337	-57.319341	-57.210548
-31.60	-55.350198	-57.265981	-57.185396
-31.50	-55.611633	-57.206785	-57.152330
-31.40	-56.128227	-57.120594	-57.123929
-31.30	-56.505681	-57.062897	-57.114082
-31.20	-56.721446	-57.009587	-57.088129
-31.10	-56.834703	-56.965821	-57.085209
-31.00	-56.882825	-56.898283	-57.063298
-30.90	-56.882985	-56.807757	-57.055257
-30.80	-56.854771	-56.694719	-57.050178
-30.70	-56.806108	-56.601708	-57.058386
-30.60	-56.681463	-56.518294	-57.056759
-30.50	-56.345890	-56.438650	-57.053148
-30.40	-56.314008	-56.380051	-57.036626
-30.30	-56.291428	-56.317928	-57.021825
-30.20	-56.556628	-56.233797	-57.037526
-30.10	-56.782939	-56.135359	-57.049295
-30.00	-56.919919	-56.013607	-57.064229
-29.90	-56.976375	-55.801017	-57.076597
-29.80	-56.957896	-55.333032	-57.082601
-29.70	-56.842633	-55.012267	-57.054502
-29.60	-56.546212	-54.929211	-57.049526
-29.50	-56.518714	-55.079785	-57.048195
-29.40	-56.493206	-55.416790	-57.035147
-29.30	-56.781965	-55.824520	-57.021821
-29.20	-57.012061	-56.119222	-57.004220
-29.10	-57.154174	-56.511909	-56.977058
-29.00	-57.221721	-56.766461	-56.958074
-28.90	-57.257769	-56.889837	-56.919496
-28.80	-57.260591	-56.938349	-56.867322
-28.70	-57.216100	-56.963977	-56.826806
-28.60	-57.142967	-56.968850	-56.769709
-28.50	-57.023649	-56.926099	-56.699504
-28.40	-56.831531	-56.867852	-56.604474
-28.30	-56.566032	-56.757783	-56.385815
-28.20	-56.556389	-56.608316	-56.249885
-28.10	-56.588149	-56.332453	-56.240616
-28.00	-56.892054	-56.187395	-56.424712
-27.90	-57.054942	-56.118402	-56.672653
-27.80	-57.141376	-56.250529	-56.797019
-27.70	-57.141410	-56.372470	-56.830613
-27.60	-57.117011	-56.328186	-56.816869
-27.50	-57.063170	-56.309985	-56.763795
-27.40	-57.018741	-56.355985	-56.637404
-27.30	-56.955056	-56.552689	-56.398440
-27.20	-56.881620	-56.817573	-56.065778
-27.10	-56.767475	-56.987881	-56.015210
-27.00	-56.639694	-57.091275	-55.993326
-26.90	-56.420511	-57.153018	-56.297831
-26.80	-56.110534	-57.171646	-56.476893
-26.70	-56.002847	-57.157218	-56.584038
-26.60	-55.917227	-57.141631	-56.636581
-26.50	-55.832796	-57.118164	-56.648934
-26.40	-55.987822	-57.094413	-56.656894
-26.30	-56.070875	-57.045156	-56.658948
-26.20	-56.394906	-56.933417	-56.641392
-26.10	-56.618555	-56.737279	-56.583575
-26.00	-56.739279	-56.563998	-56.534607
-25.90	-56.768934	-56.526548	-56.485815
-25.80	-56.755033	-56.581237	-56.438273
-25.70	-56.743912	-56.767379	-56.381224
-25.60	-56.716772	-56.877138	-56.328791
-25.50	-56.671360	-56.935879	-56.296117
-25.40	-56.612606	-56.959499	-56.256213
-25.30	-56.567725	-56.963761	-56.188679
-25.20	-56.517520	-56.947992	-56.062775
-25.10	-56.467264	-56.945105	-55.796718
-25.00	-56.393621	-56.938166	-55.684162
-24.90	-56.319409	-56.929378	-55.552025
-24.80	-56.265911	-56.909839	-55.467814
-24.70	-56.205540	-56.895732	-55.676902
-24.60	-56.149795	-56.875709	-55.825339
-24.50	-56.086479	-56.880344	-56.197232
-24.40	-55.985985	-56.867140	-56.486040
-24.30	-55.780991	-56.855490	-56.651481
-24.20	-55.586182	-56.835129	-56.689938
-24.10	-55.510297	-56.817521	-56.671827
-24.00	-55.524289	-56.789200	-56.580062
-23.90	-55.598764	-56.748126	-56.372258
-23.80	-55.812007	-56.707499	-56.221242
