# TStellate3_CT1 Optimisation
# 20130903+13:45:23
 
#param.w.x[lsr][ts] = 0.0016202	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.00088558	[1e-07,0.3]
#param.w.x[ds][ts] = 0.00040527	[1e-07,0.3]
#param.w.x[tv][ts] = 0.00032426	[1e-07,0.3]
#param.w.x[glg][ts] = 0.00014179	[1e-07,0.3]
# final error=83.506300
# Threshold level 20 
# Threshold rate 0 
# TS exemplar RMP -60.9
# TS exemplar CF 9100
# CV RMS errors:	
# Penalties :	
# IV RMS errors:	
# IV Penalties :	
# Final Error  83.5063   83.5063
# Time	 IV @spl=20 (mV)	 IV @spl=30 (mV)	 IV @spl=40 (mV)
-50.00	-65.000000	-65.000000	-65.000000
-49.90	-64.766934	-64.766934	-64.766934
-49.80	-64.545736	-64.545736	-64.545736
-49.70	-64.335646	-64.335646	-64.335646
-49.60	-64.136115	-64.136115	-64.136115
-49.50	-63.946649	-63.946649	-63.946649
-49.40	-63.766647	-63.766647	-63.766647
-49.30	-63.595652	-63.595652	-63.595652
-49.20	-63.433250	-63.433250	-63.433250
-49.10	-63.279047	-63.279047	-63.279047
-49.00	-63.132590	-63.132590	-63.132590
-48.90	-62.993458	-62.993458	-62.993458
-48.80	-62.861308	-62.861308	-62.861308
-48.70	-62.735827	-62.735827	-62.735827
-48.60	-62.616717	-62.616717	-62.616717
-48.50	-62.503695	-62.503695	-62.504012
-48.40	-62.396372	-62.396372	-62.397270
-48.30	-62.294460	-62.294460	-62.296153
-48.20	-62.197712	-62.197712	-62.200371
-48.10	-62.105895	-62.105895	-62.109654
-48.00	-62.018788	-62.018788	-62.023748
-47.90	-61.936179	-61.936179	-61.942411
-47.80	-61.857864	-61.857864	-61.865418
-47.70	-61.783649	-61.783649	-61.792552
-47.60	-61.713277	-61.713277	-61.723538
-47.50	-61.646526	-61.646526	-61.658144
-47.40	-61.583227	-61.583227	-61.596185
-47.30	-61.523219	-61.523219	-61.537492
-47.20	-61.466349	-61.466349	-61.481904
-47.10	-61.412473	-61.412473	-61.429268
-47.00	-61.361448	-61.361448	-61.379439
-46.90	-61.293588	-61.313139	-61.312725
-46.80	-61.224214	-61.257648	-61.254213
-46.70	-61.154680	-61.188892	-61.182896
-46.60	-61.076064	-61.091847	-61.103446
-46.50	-61.001415	-60.985367	-61.019029
-46.40	-60.910618	-60.903020	-60.941605
-46.30	-60.799494	-60.809952	-60.860495
-46.20	-60.665625	-60.709963	-60.777411
-46.10	-60.535406	-60.615513	-60.674810
-46.00	-60.380810	-60.486883	-60.587678
-45.90	-60.190782	-60.326754	-60.502828
-45.80	-59.994230	-60.134321	-60.372468
-45.70	-59.794228	-59.968361	-60.240368
-45.60	-59.612850	-59.765686	-60.117587
-45.50	-59.445563	-59.517680	-60.012088
-45.40	-59.261907	-59.268560	-59.882591
-45.30	-59.077185	-59.002072	-59.755388
-45.20	-58.879603	-58.723602	-59.611494
-45.10	-58.691889	-58.455406	-59.408664
-45.00	-58.520630	-58.193924	-59.163225
-44.90	-58.311159	-57.960829	-58.900087
-44.80	-57.822443	-57.743325	-58.644420
-44.70	-57.698486	-57.450158	-58.429164
-44.60	-57.567254	-57.157913	-58.232310
-44.50	-57.683451	-56.796795	-58.042442
-44.40	-57.831770	-56.282864	-57.822638
-44.30	-57.926079	-55.653857	-57.595790
-44.20	-57.880199	-55.084891	-57.360154
-44.10	-57.760085	-54.647059	-57.106338
-44.00	-57.630828	-54.154139	-56.709825
-43.90	-57.479467	-54.044535	-56.214852
-43.80	-57.298497	-54.133848	-55.989379
-43.70	-57.064765	-54.353287	-55.812065
-43.60	-56.793932	-54.291096	-55.643280
-43.50	-56.416698	-53.930383	-55.205606
-43.40	-55.822752	-53.511180	-54.994853
-43.30	-54.995594	-52.957089	-54.965149
-43.20	-54.545647	-52.964777	-55.122546
-43.10	-54.257825	-53.214544	-54.980628
-43.00	-54.830624	-53.435623	-54.562647
-42.90	-55.356976	-53.350672	-54.642498
-42.80	-55.877600	-53.220804	-54.821298
-42.70	-56.117805	-53.281750	-55.589947
-42.60	-56.098573	-53.858396	-55.951897
-42.50	-55.751656	-54.446184	-55.888862
-42.40	-55.220738	-54.916419	-55.387596
-42.30	-54.295968	-55.240455	-55.110944
-42.20	-54.190399	-55.305875	-54.876541
-42.10	-54.311120	-55.776597	-55.314575
-42.00	-55.134641	-56.248458	-55.649831
-41.90	-55.719043	-56.693640	-56.025594
-41.80	-55.813492	-56.416156	-56.167634
-41.70	-55.887866	-56.305561	-55.900904
-41.60	-55.743208	-56.045393	-55.695496
-41.50	-55.827895	-56.281621	-55.179088
-41.40	-55.671307	-56.532954	-54.970106
-41.30	-55.162593	-56.751180	-54.768730
-41.20	-54.543566	-57.213328	-54.538296
-41.10	-53.994151	-57.596421	-54.641286
-41.00	-53.816853	-57.959738	-54.830661
-40.90	-53.662905	-58.065520	-55.117516
-40.80	-53.583738	-57.890261	-55.198376
-40.70	-53.108307	-57.605636	-55.057042
-40.60	-53.163378	-57.407345	-55.147165
-40.50	-53.435611	-57.214806	-55.131408
-40.40	-53.816086	-57.060858	-55.123949
-40.30	-54.001561	-56.948972	-55.165901
-40.20	-53.784855	-56.789270	-55.284557
-40.10	-54.281141	-56.946982	-55.371613
-40.00	-55.116030	-57.000502	-55.448573
-39.90	-56.105093	-57.226171	-55.511137
-39.80	-56.865690	-57.107457	-55.671460
-39.70	-57.430642	-57.063686	-55.860883
-39.60	-57.681759	-56.951938	-56.050566
-39.50	-57.876504	-57.025433	-55.848431
-39.40	-57.655756	-56.905250	-55.670006
-39.30	-57.119111	-56.659884	-55.307331
-39.20	-56.919771	-56.383928	-55.435146
-39.10	-56.816979	-56.080591	-55.374489
-39.00	-56.901546	-56.039271	-55.912089
-38.90	-57.061223	-55.781890	-56.332469
-38.80	-56.920275	-55.195437	-56.972429
-38.70	-57.203631	-55.021084	-57.461282
-38.60	-57.336157	-54.681519	-57.652470
-38.50	-57.651899	-54.922410	-57.438720
-38.40	-57.748113	-55.253662	-57.317355
-38.30	-57.650930	-55.581153	-57.109527
-38.20	-57.384442	-55.527641	-57.062752
-38.10	-57.007288	-55.574477	-56.964116
-38.00	-56.273094	-55.635243	-56.898122
-37.90	-55.556165	-55.846263	-56.944253
-37.80	-54.868290	-56.169852	-56.936374
-37.70	-54.395534	-56.302687	-56.670197
-37.60	-54.072853	-56.280338	-55.942653
-37.50	-54.179008	-55.960981	-55.107999
-37.40	-54.447475	-55.919143	-54.195591
-37.30	-54.967594	-55.863073	-54.198459
-37.20	-55.376502	-55.717420	-54.337302
-37.10	-55.752467	-55.778364	-55.181935
-37.00	-56.128671	-55.473261	-55.830990
-36.90	-56.603169	-55.804837	-56.529157
-36.80	-56.902628	-55.770974	-57.016032
-36.70	-57.062423	-56.014610	-56.918948
-36.60	-56.740335	-56.247070	-56.811975
-36.50	-56.518197	-56.592089	-56.750077
-36.40	-56.298750	-56.905905	-57.025472
-36.30	-56.402104	-57.151077	-57.139478
-36.20	-56.641876	-57.387409	-57.283274
-36.10	-56.503638	-57.494662	-57.176534
-36.00	-56.686653	-57.139751	-57.134886
-35.90	-56.891369	-56.725267	-56.591849
-35.80	-57.428372	-56.226927	-56.048360
-35.70	-57.899956	-56.016793	-55.904055
-35.60	-58.123774	-55.891007	-56.135466
-35.50	-58.026179	-55.987249	-56.662450
-35.40	-57.663881	-56.237921	-57.138872
-35.30	-57.253758	-56.290231	-57.396600
-35.20	-57.142869	-56.229198	-57.396578
-35.10	-57.245739	-56.194329	-57.038227
-35.00	-57.567476	-56.178065	-57.117491
-34.90	-57.779799	-56.761496	-57.246252
-34.80	-57.876263	-57.319240	-57.792983
-34.70	-57.781239	-57.787021	-58.180758
-34.60	-57.394322	-58.184032	-58.291911
-34.50	-57.128656	-58.440231	-58.158131
-34.40	-56.961527	-58.689068	-57.877390
-34.30	-56.960095	-58.727259	-57.336275
-34.20	-56.946741	-58.363771	-56.911210
-34.10	-56.565275	-57.561624	-56.301032
-34.00	-56.010869	-57.336647	-56.106232
-33.90	-55.715612	-57.353176	-55.795572
-33.80	-55.671774	-58.076985	-55.757775
-33.70	-56.188819	-58.602517	-55.976696
-33.60	-56.803536	-58.861379	-56.398668
-33.50	-57.378220	-58.827732	-56.829369
-33.40	-57.763186	-58.497381	-56.982712
-33.30	-57.868242	-57.868429	-56.634206
-33.20	-57.685247	-57.344572	-56.297961
-33.10	-57.589081	-57.136497	-56.045401
-33.00	-57.412936	-57.223104	-55.996602
-32.90	-57.463375	-57.230023	-56.090803
-32.80	-57.355895	-57.279365	-56.197417
-32.70	-57.011228	-56.992521	-55.879836
-32.60	-56.640330	-57.161368	-55.477505
-32.50	-56.167702	-57.293643	-54.893964
-32.40	-56.218038	-57.657614	-54.847642
-32.30	-56.299127	-57.751556	-55.475474
-32.20	-56.653108	-57.595167	-56.470604
-32.10	-56.805079	-57.542412	-57.426921
-32.00	-56.764704	-57.402862	-57.850401
-31.90	-56.501325	-57.544399	-57.831457
-31.80	-55.901073	-57.577803	-57.512800
-31.70	-55.007150	-57.499276	-57.057651
-31.60	-54.815037	-57.239501	-56.900962
-31.50	-54.765755	-56.865453	-57.100947
-31.40	-55.275019	-56.661147	-57.491532
-31.30	-55.664447	-56.429970	-57.713032
-31.20	-55.866571	-56.644226	-58.011476
-31.10	-56.019274	-56.778258	-58.122687
-31.00	-56.003809	-57.040023	-58.375956
-30.90	-56.096880	-57.119561	-58.514130
-30.80	-55.914542	-57.035964	-58.481262
-30.70	-55.873567	-56.769929	-58.189295
-30.60	-55.357634	-56.159476	-58.093759
-30.50	-54.256447	-55.642791	-57.976652
-30.40	-53.097992	-54.446526	-58.042972
-30.30	-53.171464	-54.173459	-58.056492
-30.20	-53.803714	-54.250563	-57.957159
-30.10	-55.168096	-55.064270	-57.751846
-30.00	-56.146075	-55.878728	-57.485116
-29.90	-56.832455	-56.025637	-57.124309
-29.80	-57.290122	-55.965119	-56.628382
-29.70	-57.635479	-55.946904	-55.725892
-29.60	-57.714188	-56.037794	-55.256339
-29.50	-57.527695	-56.369937	-54.590081
-29.40	-57.333809	-56.614755	-54.695484
-29.30	-56.897228	-56.838726	-54.777959
-29.20	-56.867106	-57.000146	-54.979667
-29.10	-56.798771	-57.022341	-55.737036
-29.00	-56.819797	-56.873424	-56.399871
-28.90	-56.973252	-56.536160	-57.257398
-28.80	-57.128814	-55.766951	-57.778632
-28.70	-57.319754	-54.636366	-58.042838
-28.60	-57.357756	-53.531155	-58.029754
-28.50	-57.216132	-53.336444	-57.798213
-28.40	-56.874701	-53.804221	-57.312851
-28.30	-56.772694	-54.612179	-57.109733
-28.20	-56.598937	-55.173566	-56.862567
-28.10	-56.719482	-55.907708	-56.840629
-28.00	-56.686660	-56.491782	-56.599665
-27.90	-56.340360	-57.375394	-56.553518
-27.80	-56.171009	-57.871154	-56.346792
-27.70	-55.840129	-58.052474	-56.275102
-27.60	-55.755238	-57.967853	-55.769695
-27.50	-55.851710	-57.591326	-55.439307
-27.40	-55.948205	-57.325538	-54.920906
-27.30	-56.068688	-56.952820	-54.974047
-27.20	-55.977808	-56.553100	-55.333638
-27.10	-55.557936	-55.662375	-55.656198
-27.00	-55.235059	-54.908163	-56.017433
-26.90	-54.620554	-54.175919	-56.200206
-26.80	-54.595291	-54.198544	-55.969266
-26.70	-54.700742	-54.596034	-55.629293
-26.60	-55.158605	-55.208097	-55.309893
-26.50	-55.538029	-56.428427	-55.490994
-26.40	-55.381766	-57.469280	-56.129936
-26.30	-55.329804	-58.484521	-56.979507
-26.20	-55.063695	-59.117018	-57.494770
-26.10	-55.259414	-59.430040	-57.623393
-26.00	-55.482828	-59.539443	-57.263260
-25.90	-55.880820	-59.585207	-57.074071
-25.80	-56.068456	-59.580954	-56.688904
-25.70	-56.020380	-59.480457	-56.842987
-25.60	-55.679342	-59.332287	-56.987409
-25.50	-55.318382	-59.185708	-57.266253
-25.40	-55.299386	-59.042454	-57.266428
-25.30	-55.467108	-58.898112	-56.854217
-25.20	-55.970107	-58.754346	-56.458289
-25.10	-56.239507	-58.600800	-56.242017
-25.00	-56.283199	-58.380103	-56.160223
-24.90	-56.038574	-58.017812	-55.918704
-24.80	-55.276470	-57.604403	-55.594704
-24.70	-54.692043	-57.423888	-55.564478
-24.60	-54.197853	-57.347773	-55.803244
-24.50	-54.320503	-57.328310	-56.341970
-24.40	-54.795358	-57.110071	-56.800265
-24.30	-55.214423	-56.887661	-57.022493
-24.20	-55.806895	-56.428212	-56.796769
-24.10	-56.263918	-56.294530	-56.838653
-24.00	-56.725707	-56.299811	-56.782214
-23.90	-56.914315	-56.511792	-57.135425
-23.80	-57.087220	-56.783168	-57.180600
-23.70	-57.167856	-56.663245	-57.118850
-23.60	-57.398229	-56.538932	-56.942105
-23.50	-57.573484	-56.514053	-56.742649
-23.40	-57.629167	-56.777128	-56.879385
