# TStellate_CT2 Optimisation
# Monday 5 November  23:11:24 EST 2012
 
#param.w.x[lsr][ts] = 0.00362462	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.002329	[1e-07,0.3]
#param.w.x[ds][ts] = 0.000116176	[1e-07,0.3]
#param.w.x[tv][ts] = 0.0004617	[1e-07,0.3]
#param.w.x[glg][ts] = 0.000503486	[1e-07,0.3]
#param.ts_gleak = 0.000473644	[5e-05,0.005]
#param.ts_erev = -64.985	[0.03,0.08]
# final error=20.061806
# Time	Error Vec	 Reference Vec (mV)
-20.00	-60.712401	-65.000000
-19.90	-60.712401	-64.820544
-19.80	-60.712401	-64.667049
-19.70	-60.712401	-64.533671
-19.60	-60.712401	-64.416137
-19.50	-60.712401	-64.311234
-19.40	-60.712401	-64.216525
-19.30	-60.712401	-64.130157
-19.20	-60.712401	-64.050710
-19.10	-60.712401	-63.977041
-19.00	-60.712401	-63.908309
-18.90	-60.712401	-63.843864
-18.80	-60.712401	-63.783194
-18.70	-60.712401	-63.725894
-18.60	-60.712401	-63.671634
-18.50	-60.712401	-63.620148
-18.40	-60.712401	-63.571215
-18.30	-60.712401	-63.523023
-18.20	-60.712401	-63.474684
-18.10	-60.712401	-63.425863
-18.00	-60.712401	-63.376544
-17.90	-60.712401	-63.326886
-17.80	-60.712401	-63.275500
-17.70	-60.712401	-63.220288
-17.60	-60.712401	-63.160584
-17.50	-60.712401	-63.098152
-17.40	-60.712401	-63.034364
-17.30	-60.712401	-62.971859
-17.20	-60.712401	-62.910455
-17.10	-60.712401	-62.850126
-17.00	-60.712401	-62.792714
-16.90	-60.712401	-62.737754
-16.80	-60.712401	-62.684780
-16.70	-60.712401	-62.633338
-16.60	-60.712401	-62.578522
-16.50	-60.712401	-62.516570
-16.40	-60.712401	-62.449419
-16.30	-60.712401	-62.374182
-16.20	-60.712401	-62.288545
-16.10	-60.712401	-62.199744
-16.00	-60.712401	-62.114811
-15.90	-60.712401	-62.029660
-15.80	-60.712401	-61.937735
-15.70	-60.712401	-61.841049
-15.60	-60.712401	-61.746246
-15.50	-60.712401	-61.655538
-15.40	-60.712401	-61.565481
-15.30	-60.712401	-61.475801
-15.20	-60.712401	-61.388100
-15.10	-60.712401	-61.301908
