# Golgi model rate-level data
# Spatial filter: Stdev of LSR input channels=4.75# Synaptic Filter: Tau = 5ms, Scale_factor=0.95
# SPL	Rate (sp/sec)	 Stdev
-20	3.600	100.000
-15	1.200	100.000
-10	0.400	100.000
-5	4.000	100.000
0	2.400	100.000
5	2.400	100.000
10	0.800	100.000
15	3.600	100.000
20	2.400	100.000
25	1.600	100.000
30	4.800	100.000
35	4.000	100.000
40	7.600	100.000
45	16.400	100.000
50	13.200	100.000
55	63.803	110.284
60	56.849	88.017
65	70.638	100.117
70	72.374	118.605
75	78.462	109.077
80	81.278	101.516
85	82.918	113.690
90	105.592	152.368
95	105.346	137.273
