Modulating Frequency (Hz)     Sync Coefficient 

50.000000    0.863492 
145.621305    0.828571 
246.346847    0.768254 
343.677418    0.774603 
435.407532    0.780952 
532.622373    0.777778 
640.224274    0.749206 
736.576784    0.657143 
847.430161    0.555556 
941.387299    0.504762 
1036.638620    0.260317 
1121.697360    0.206349 
1246.063330    0.428571 
1348.305881    0.206349 
1446.210046    0.361905 
1551.223300    0.082540 
1663.861852    0.184127 


Type:Ct;unit 88384-15;CF=10.8 kHz;Th= 10 dB SPL; SR=0   
