Modulation Frequency (Hz)    Sync Coefficient 

50.000000    0.353698 
149.972006    0.385852 
250.396906    0.479100 
344.957572    0.601286 
449.832051    0.581994 
550.183758    0.633441 
642.818637    0.575563 
737.426065    0.553055 
838.249251    0.581994 
935.571952    0.536977 
1034.679580    0.437299 
1133.859460    0.331190 
1231.224482    0.321543 
1324.768284    0.212219 
1438.526732    0.215434 
1533.717177    0.160772 
1620.306937    0.051447 
1743.411760    0.080386 
1825.057896    0.054662 
1910.527621    0.035370 


PL Type; unit C89001-34; CF= 13.25 kHz; th= 32 dB SPL; SR = 57 sp/sec   
