Modulating Frequency (Hz)    Sync Coefficient 

50.000000    0.595156 
150.762224    0.626298 
247.858368    0.633218 
347.554647    0.678201 
445.634314    0.754325 
543.679609    0.771626 
643.802712    0.740484 
739.959407    0.761246 
842.063356    0.730104 
939.388414    0.723183 
1037.593899    0.674740 
1134.727026    0.633218 
1228.675410    0.598616 
1317.239404    0.519031 
1412.187167    0.515571 
1529.107536    0.446367 
1623.107762    0.373702 
1740.102783    0.391003 
1828.799131    0.301038 
1922.016500    0.235294 


Type:PLN;unit 89036;CF=18kHz;Th=20 dB SPL;SR=57   
