Modulating Frequency (Hz)    Sync Coefficient 

49.586307    0.916399 
152.221009    0.881029 
248.519772    0.871383 
349.380706    0.858521 
448.276751    0.881029 
547.197435    0.852090 
651.504111    0.762058 
756.598609    0.790997 
857.016507    0.781350 
954.764689    0.778135 
1046.133294    0.617363 
1146.245648    0.533762 
1266.416669    0.411576 
1353.451084    0.231511 
1458.534657    0.247588 
1533.084923    0.125402 
1624.889810    0.025723 
1736.560270    0.228296 
1840.549761    0.122186 


Type:Oc;unit 89001-41;CF=41 kHz;Th=40 dB SPL;SR=0   
