Modulating Frequency (Hz)    Sync Coefficient 

50.000000    0.157051 
150.572809    0.243590 
252.582491    0.358974 
354.583974    0.471154 
453.443418    0.573718 
555.792420    0.592949 
652.961618    0.599359 
760.641105    0.631410 
863.819968    0.650641 
956.352500    0.589744 
1058.797131    0.538462 
1162.317074    0.480769 
1265.183685    0.455128 
1365.524988    0.358974 
1449.038510    0.304487 
1563.961278    0.259615 
1673.744522    0.179487 
1746.238870    0.064103 
1868.817204    0.105769 
1949.760672    0.019231 


Type: OL (PVCN);unit 88299-42;CF= 7.9 kHz;Th=8 dB SPL;SR= 1 spike/sec   
