Modulating Frequency (Hz)    Spikes/secicient 

50.434847    345.541401 
151.474714    343.949045 
248.142002    348.726115 
353.907002    353.503185 
447.124192    390.127389 
555.195290    410.828025 
654.484180    391.719745 
751.744779    353.503185 
863.458935    356.687898 
949.750288    323.248408 
1062.915129    321.656051 
1159.059233    291.401274 
1263.899881    270.700637 
1342.881226    232.484076 
1477.084526    235.668790 
1569.387821    229.299363 
1681.960962    214.968153 
1771.659008    192.675159 
1866.140602    208.598726 
2034.939042    221.337580 


Type: OL (PVCN);unit 88299-42;CF= 7.9 kHz;Th=8 dB SPL;SR= 1 spike/sec   
